"networkDomain","domain_id"
"(not set)",1
"\032ajinomotoindia.com",2
"0101.net.au",3
"012.net.il",4
"018.net.il",5
"02.net",6
"04.4-x64",7
"099.net.il",8
"0beta",9
"0pb.org",10
"0rbitel.net",11
"10-42.net",12
"100megabit.ru",13
"100tb.com",14
"101netlink.com",15
"103-ebonenet.com",16
"10call.com",17
"10net.net",18
"10outof10winning.net",19
"111-tataidc.co.in",20
"115-tataidc.co.in",21
"122-airtelbroadband.in",22
"123.net",23
"123ce.fr",24
"123multimedia.com",25
"130.2",26
"14-tataidc.co.in",27
"150pelican.com",28
"15fairrecommendadventure.com",29
"163.com",30
"163.ppp",31
"163data.com.cn",32
"168.234",33
"16clouds.com",34
"173.in-arpa",35
"177-hidraucartelecom.com.br",36
"17one.net",37
"17seven.co.id",38
"18.178",39
"180-static-fiberlink.net.pk",40
"1800flowers.com",41
"180la.com",42
"182-airtel.com",43
"182-airtelbroadband.in",44
"182-tataidc.co.in",45
"186-speedbr.net.br",46
"188-civicnet.cz",47
"18fss.com",48
"19.co.uk",49
"1asia-ahl.com",50
"1asiacom.net",51
"1baza.ru",52
"1cps.ru",53
"1e100.com",54
"1e100.net",55
"1forestever.com",56
"1g.net.ua",57
"1gb.ru",58
"1h.com",59
"1omega.net",60
"1plus1.net",61
"1scom.net",62
"1st-currency.net",63
"1stcu.com",64
"1stel.com",65
"1stq.de",66
"1tel.net",67
"1tv.ch",68
"1tv.ru",69
"1vk.com.ua",70
"1wire.co",71
"2-0.pl",72
"20-1-pinnaclenetworksolutions.com",73
"201-163-newmasterturbonet.com.br",74
"2016.gntu-1gb-sgp1-01",75
"2016style.cc",76
"2020mobile.com",77
"203.65",78
"208-usmetrocom.com",79
"208.210-twnap",80
"208.lnoca",81
"2088realty.com.au",82
"211.ru",83
"216.65",84
"21charles.com",85
"21cn.com",86
"21torr.com",87
"21vk.ru",88
"223.com",89
"234.cz",90
"24.net.pl",91
"246.ne.jp",92
"24deli.com",93
"24hourfitness.com",94
"253.208",95
"255-evonetbd.com",96
"263.net",97
"27-static-fiberlink.net.pk",98
"27-tataidc.co.in",99
"29.25",100
"295.ca",101
"2a.pl",102
"2apcs.com",103
"2bite.net",104
"2brothersnet.ro",105
"2com.net",106
"2day.kz",107
"2dc.com",108
"2gis.net",109
"2gis.ru",110
"2i3.net",111
"2iij.co.jp",112
"2iij.net",113
"2l-ec.fr",114
"2mcl.com",115
"2sync.co",116
"2talk.co.nz",117
"2talk.com.au",118
"2ue.com.au",119
"2uibe.com",120
"2way.co.nz",121
"3.dk",122
"3112.org",123
"321net.cz",124
"325-75-85.ru",125
"345000.ru",126
"35.net",127
"360incentives.com",128
"360input.com",129
"360production.com",130
"363werie.net",131
"365net.is",132
"36cloud.com",133
"38ns.net",134
"39-static-fiberlink.net.pk",135
"3aaa.cl",136
"3allimni.org",137
"3banken.net",138
"3bb.co.th",139
"3bits.se",140
"3c-gruppe.de",141
"3c1b.net",142
"3cisd.com",143
"3dbuilders.com",144
"3dcomputersystems.com",145
"3dmetalforming.com",146
"3ds.com",147
"3logic.net",148
"3marketeers.com",149
"3menatwork.com",150
"3pleplay.in",151
"3plus.net",152
"3psystem.it",153
"3r-capital.com",154
"3rivers.net",155
"3s-ru.com",156
"3s.pl",157
"3samnet.net",158
"3sat.de",159
"3sinfotech.net",160
"3sun.co.uk",161
"3telecom.net.br",162
"3tier.com",163
"3wlink.com.br",164
"3x.co.uk",165
"42-static-fiberlink.net.pk",166
"460realty.com",167
"49-tataidc.co.in",168
"4d.com",169
"4ever.ru",170
"4flow.de",171
"4ingames.com",172
"4miles.com",173
"4nets.lv",174
"4p.com.vn",175
"4s.com",176
"4u.com.gh",177
"4web.pl",178
"4wfg.com",179
"53.com",180
"546.us",181
"5c.com.vn",182
"5ipatent.com",183
"5ninesdata.com",184
"5pmail.com",185
"5s.net.ua",186
"6-6.com.ua",187
"60web.com",188
"61-tataidc.co.in",189
"622mbit.eu",190
"63.61-savecom",191
"66.pl",192
"67.177",193
"69_static_pldt.net",194
"6ptelecom.com.br",195
"702com.net",196
"702communications.com",197
"777la.com",198
"7brasiltelecom.com.br",199
"7data.eu",200
"7house.co.uk",201
"7spot.jp",202
"7starnet.com",203
"7starnetwork.com",204
"800best.com",205
"82-ecommera.com",206
"87.63",207
"8732886.com",208
"881903.com",209
"88plug.com",210
"8bit.net.br",211
"8networks.net",212
"91expresslanes.com",213
"920022033.com",214
"9212121.ru",215
"94-optic-com.eu",216
"961111.cn",217
"99c.co.za",218
"99maxprogres.cz",219
"9squared.com",220
"a-klaw.com",221
"a-lehdet.fi",222
"a-mobile.biz",223
"a-msedge.net",224
"a-solutions.dk",225
"a-star.edu.sg",226
"a-tel.com.tr",227
"a-und-o.com",228
"a1.net",229
"a1net.cz",230
"a2b-internet.com",231
"a2bandalarga.com",232
"a2c.de",233
"a2mobile.pl",234
"a4.com",235
"aa.net.uk",236
"aaalife.com",237
"aaamidatlantic.com",238
"aaanet.ru",239
