"metro","metro_id"
"(not set)",1
"Abilene-Sweetwater TX",2
"Albany-Schenectady-Troy NY",3
"Atlanta GA",4
"Augusta GA",5
"Austin TX",6
"Baltimore MD",7
"Boise ID",8
"Boston MA-Manchester NH",9
"Butte-Bozeman MT",10
"Central Scotland",11
"Charleston SC",12
"Charlotte NC",13
"Charlottesville VA",14
"Chattanooga TN",15
"Chicago IL",16
"Chico-Redding CA",17
"Cincinnati OH",18
"Cleveland-Akron (Canton) OH",19
"Colorado Springs-Pueblo CO",20
"Columbus OH",21
"Dallas-Ft. Worth TX",22
"Denver CO",23
"Detroit MI",24
"El Paso TX",25
"Fresno-Visalia CA",26
"Grand Rapids-Kalamazoo-Battle Creek MI",27
"Green Bay-Appleton WI",28
"Greenville-Spartanburg-Asheville-Anderson",29
"Harlingen-Weslaco-Brownsville-McAllen TX",30
"Hartford & New Haven CT",31
"Honolulu HI",32
"Houston TX",33
"HTV Wales",34
"HTV West",35
"Idaho Falls-Pocatello ID",36
"Indianapolis IN",37
"Jacksonville FL",38
"JP_KANTO",39
"JP_KINKI",40
"JP_OTHER",41
"Kansas City MO",42
"La Crosse-Eau Claire WI",43
"Lansing MI",44
"Las Vegas NV",45
"Lexington KY",46
"London",47
"Los Angeles CA",48
"Louisville KY",49
"Madison WI",50
"Mankato MN",51
"Memphis TN",52
"Meridian (exc. Channel Islands)",53
"Miami-Ft. Lauderdale FL",54
"Midlands",55
"Milwaukee WI",56
"Minneapolis-St. Paul MN",57
"Nashville TN",58
"New Orleans LA",59
"New York NY",60
"Norfolk-Portsmouth-Newport News VA",61
"North Scotland",62
"North West",63
"not available in demo dataset",64
"Omaha NE",65
"Orlando-Daytona Beach-Melbourne FL",66
"Panama City FL",67
"Philadelphia PA",68
"Phoenix AZ",69
"Pittsburgh PA",70
"Portland OR",71
"Providence-New Bedford,MA",72
"Raleigh-Durham (Fayetteville) NC",73
"Roanoke-Lynchburg VA",74
"Rochester-Mason City-Austin,IA",75
"Sacramento-Stockton-Modesto CA",76
"Salt Lake City UT",77
"San Antonio TX",78
"San Diego CA",79
"San Francisco-Oakland-San Jose CA",80
"Seattle-Tacoma WA",81
"Springfield-Holyoke MA",82
"Springfield MO",83
"St. Louis MO",84
"Syracuse NY",85
"Tallahassee FL-Thomasville GA",86
"Tampa-St. Petersburg (Sarasota) FL",87
"Tri-Cities TN-VA",88
"Tucson (Sierra Vista) AZ",89
"Tulsa OK",90
"Utica NY",91
"Washington DC (Hagerstown MD)",92
"Wheeling WV-Steubenville OH",93
"Yorkshire",94
